date_upload,cmt,fav,post,total
2006-4,0,0,1,1
2007-1,2,0,12,14
2007-2,1,0,1,2
2007-3,0,1,0,1
2007-4,11,10,207,228
2008-1,0,2,77,79
2008-2,1,0,1009,1010
2008-3,0,2,85,87
2008-4,16,3,147,166
2009-1,8,12,62,82
2009-2,6,43,164,213
2009-3,9,8,27,44
2009-4,4,15,40,59
2010-1,7,14,1,22
2010-2,7,158,148,313
2010-3,0,5,226,231
2010-4,0,16,23,39
2011-1,0,6,11,17
2011-2,0,39,240,279
2011-3,1,4,291,296
2011-4,0,2,49,51
2012-1,35,62,494,591
2012-2,8,74,310,392
2012-3,4,50,447,501
2012-4,4,22,106,132
2013-1,13,27,283,323
2013-2,5,16,3,24
2013-3,1,12,13,26
2013-4,0,28,131,159
2014-1,10,32,475,517
2014-2,1,23,777,801
2014-3,0,52,840,892
2014-4,2,54,1657,1713
2015-1,3,19,195,217
2015-2,1,40,211,252
2015-3,0,14,237,251
