date_upload,cmt,fav,post,total
2005-3,0,0,1,1
2005-4,0,0,1,1
2006-1,1,0,1,2
2006-3,0,0,4,4
2006-4,0,0,10,10
2007-1,1,1,5,7
2007-2,4,6,2,12
2007-3,0,1,7,8
2007-4,0,1,18,19
2008-1,7,3,27,37
2008-2,7,5,19,31
2008-3,8,6,41,55
2008-4,8,9,15,32
2009-1,4,35,35,74
2009-2,4,20,58,82
2009-3,7,3,22,32
2009-4,8,11,40,59
2010-1,12,13,47,72
2010-2,9,21,89,119
2010-3,4,7,29,40
2010-4,7,11,69,87
2011-1,3,15,40,58
2011-2,12,30,40,82
2011-3,5,9,41,55
2011-4,81,19,24,124
2012-1,41,13,37,91
2012-2,11,34,91,136
2012-3,2,14,236,252
2012-4,5,8,93,106
2013-1,16,14,47,77
2013-2,16,20,146,182
2013-3,2,6,39,47
2013-4,1,16,35,52
2014-1,1,14,43,58
2014-2,6,24,79,109
2014-3,11,13,82,106
2014-4,1,10,83,94
2015-1,5,14,95,114
2015-2,8,9,114,131
2015-3,0,4,11,15
