date_upload,cmt,fav,post,total
2002-3,0,0,1,1
2003-4,0,0,2,2
2005-2,2,0,3,5
2005-4,0,0,1,1
2006-1,16,1,52,69
2006-2,1,1,66,68
2006-3,1,0,150,151
2006-4,2,5,4,11
2007-1,55,1,54,110
2007-2,92,6,446,544
2007-3,334,68,1702,2104
2007-4,77,65,536,678
2008-1,39,15,734,788
2008-2,535,239,2645,3419
2008-3,91,18,868,977
2008-4,1200,70,237,1507
2009-1,353,15,603,971
2009-2,238,117,518,873
2009-3,472,27,380,879
2009-4,68,28,303,399
2010-1,226,257,666,1149
2010-2,594,132,892,1618
2010-3,210,19,731,960
2010-4,126,39,739,904
2011-1,1043,227,2913,4183
2011-2,221,155,851,1227
2011-3,295,109,1865,2269
2011-4,564,242,1152,1958
2012-1,703,153,374,1230
2012-2,281,238,553,1072
2012-3,187,90,539,816
2012-4,283,254,605,1142
2013-1,221,70,353,644
2013-2,246,269,1832,2347
2013-3,493,176,1190,1859
2013-4,124,233,1105,1462
2014-1,174,687,1344,2205
2014-2,48,129,191,368
2014-3,42,178,202,422
2014-4,120,360,288,768
2015-1,76,171,293,540
2015-2,40,273,356,669
2015-3,9,67,107,183
