,date_taken,date_upload,geo,photo_id,region
0,2010-10,2010-10,"[u'47.599807', u'-122.325022']",5102119767,Washington
1,2010-09,2010-09,"[u'41.782863', u'-88.261161']",5009374386,Illinois
2,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8539329767,Pennsylvania
3,2012-03,2012-03,"[u'34.119793', u'-118.179760']",6986515517,California
4,2012-03,2012-03,"[u'34.119854', u'-118.179683']",6840396896,California
5,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8539329657,Pennsylvania
6,2010-04,2012-11,"[u'29.800618', u'-95.553803']",8186236477,Texas
7,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8540436034,Pennsylvania
8,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8540435538,Pennsylvania
9,2011-06,2013-03,"[u'40.008371', u'-75.090887']",8539330165,Pennsylvania
10,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8540435894,Pennsylvania
11,2011-05,2013-03,"[u'40.008371', u'-75.090887']",8540436126,Pennsylvania
12,2013-12,2013-12,"[u'42.145173', u'-71.210374']",11405207546,Massachusetts
13,2013-12,2013-12,"[u'42.136064', u'-71.220191']",11523353206,Massachusetts
14,2010-08,2011-04,"[u'45.485321', u'-122.796508']",5666104956,Oregon
15,2013-08,2013-08,"[u'40.821103', u'-73.876532']",9516658977,New York
16,2007-01,2007-05,"[u'38.941853', u'-95.228891']",480642544,Kansas
17,2010-05,2010-05,"[u'38.055322', u'-84.528422']",4575642105,Kentucky
18,2015-03,2015-03,"[u'42.191835', u'-71.117720']",16338870683,Massachusetts
19,2011-05,2011-05,"[u'42.669450', u'-73.726462']",5708429262,New York
20,2012-03,2012-03,"[u'34.119821', u'-118.179740']",6986518895,California
21,2010-06,2010-08,"[u'34.020812', u'-118.787151']",4864662996,California
22,2010-06,2010-08,"[u'34.020812', u'-118.787151']",4864046239,California
23,2012-03,2012-03,"[u'34.119909', u'-118.179815']",6986520627,California
24,2012-03,2012-03,"[u'34.119881', u'-118.179810']",6840400828,California
25,2012-03,2012-03,"[u'34.119840', u'-118.179803']",6840400250,California
26,2012-03,2012-03,"[u'34.119890', u'-118.179771']",6840399418,California
27,2012-03,2012-03,"[u'34.119936', u'-118.179763']",6986518095,California
28,2012-03,2012-03,"[u'34.119905', u'-118.179653']",6840397698,California
29,2012-03,2012-03,"[u'34.119698', u'-118.180038']",6986513967,California
30,2012-03,2012-03,"[u'34.119081', u'-118.180530']",6840389832,California
31,2012-03,2012-03,"[u'34.119120', u'-118.180578']",6986508535,California
32,2012-03,2012-03,"[u'34.119041', u'-118.179998']",6840388734,California
33,2012-03,2012-03,"[u'34.119955', u'-118.179435']",6986506589,California
34,2004-12,2006-07,"[u'35.727562', u'-83.519954']",188107376,Tennessee
35,2012-03,2012-03,"[u'34.119000', u'-118.180333']",6840393076,California
36,2012-03,2012-03,"[u'34.119000', u'-118.180333']",6986511611,California
37,2012-03,2012-03,"[u'34.119166', u'-118.180166']",6986511001,California
38,2012-03,2012-03,"[u'34.119333', u'-118.180166']",6840391290,California
39,2012-03,2012-03,"[u'34.119333', u'-118.180333']",6986509701,California
40,2010-05,2010-05,"[u'38.055322', u'-84.528422']",4575642115,Kentucky
41,2012-10,2013-11,"[u'42.269584', u'-71.087274']",11066652325,Massachusetts
42,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8540435466,Pennsylvania
43,2010-12,2010-12,"[u'38.055322', u'-84.528422']",5232348560,Kentucky
44,2013-05,2013-05,"[u'38.528229', u'-121.764113']",8895473249,California
45,2010-12,2010-12,"[u'38.055322', u'-84.528422']",5232348568,Kentucky
46,2012-05,2012-05,"[u'42.269584', u'-71.087274']",7298867324,Massachusetts
47,2014-10,2014-10,"[u'38.888356', u'-77.028766']",15498316125,District of Columbia
48,2013-12,2013-12,"[u'42.144218', u'-71.210846']",11405347143,Massachusetts
49,2012-05,2012-05,"[u'42.269048', u'-71.072748']",7300800062,Massachusetts
50,2011-09,2012-10,"[u'43.078684', u'-87.879209']",8100259131,Wisconsin
51,2010-04,2010-05,"[u'45.511420', u'-122.653801']",4651203085,Oregon
52,2012-09,2013-03,"[u'40.008371', u'-75.090887']",8540435988,Pennsylvania
53,2011-02,2011-02,"[u'33.738000', u'-118.396167']",5484274989,California
54,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8539329415,Pennsylvania
55,2012-08,2012-09,"[u'36.102376', u'-115.025739']",7914825948,Nevada
56,2008-05,2008-02,"[u'38.969911', u'-95.288565']",2247139490,Kansas
57,2014-08,2014-08,"[u'39.098512', u'-74.711494']",14775272377,New Jersey
58,2007-08,2007-12,"[u'45.531274', u'-122.681665']",2098791725,Oregon
59,2011-09,2012-10,"[u'43.078684', u'-87.879188']",8100259639,Wisconsin
60,2011-09,2012-10,"[u'43.078715', u'-87.879166']",8100259019,Wisconsin
61,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533754358,New York
62,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8540435214,Pennsylvania
63,2013-03,2013-03,"[u'40.008371', u'-75.090887']",8540436220,Pennsylvania
64,2010-07,2012-09,"[u'42.944863', u'-87.993450']",7994696125,Wisconsin
65,2013-10,2013-10,"[u'41.957980', u'-87.669595']",10406355724,Illinois
66,2012-04,2012-04,"[u'40.092091', u'-75.052757']",6901730704,Pennsylvania
67,2012-09,2013-03,"[u'40.008371', u'-75.090887']",8540435266,Pennsylvania
68,2010-07,2012-09,"[u'42.944863', u'-87.995080']",7994695119,Wisconsin
69,2011-01,2011-01,"[u'32.338744', u'-90.172305']",5312670532,Mississippi
70,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8540435654,Pennsylvania
71,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864045571,California
72,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864046067,California
73,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864045983,California
74,2010-06,2010-08,"[u'34.020812', u'-118.787151']",4864046155,California
75,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864045819,California
76,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864662338,California
77,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864662272,California
78,2006-02,2010-08,"[u'34.020812', u'-118.787151']",4864662074,California
79,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8540435946,Pennsylvania
80,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8540435774,Pennsylvania
81,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8539329895,Pennsylvania
82,2010-10,2010-10,"[u'47.599290', u'-122.325012']",5102714268,Washington
83,2012-08,2012-08,"[u'36.105913', u'-115.020589']",7876819200,Nevada
84,2013-04,2013-05,"[u'36.103277', u'-115.023679']",8801466854,Nevada
85,2012-10,2013-05,"[u'42.930850', u'-87.981304']",8902292974,Wisconsin
86,2013-04,2013-04,"[u'35.019005', u'-106.669714']",8671313500,New Mexico
87,2012-08,2012-08,"[u'36.104101', u'-115.020364']",7867146540,Nevada
88,2011-04,2011-04,"[u'47.705530', u'-122.288174']",5583706187,Washington
89,2008-11,2009-01,"[u'45.555624', u'-122.674981']",3160338459,Oregon
90,2009-01,2009-01,"[u'39.644907', u'-105.006165']",3218942902,Colorado
91,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747551424,New York
92,1999-11,2012-11,"[u'42.992657', u'-89.527888']",8161921133,Wisconsin
93,2009-05,2009-05,"[u'37.784638', u'-122.392555']",3550129955,California
94,2012-08,2012-08,"[u'36.107473', u'-115.025911']",7876708372,Nevada
95,2011-09,2011-09,"[u'39.282720', u'-76.505811']",6116758120,Maryland
96,2001-01,2012-09,"[u'42.928399', u'-89.394378']",8027583311,Wisconsin
97,2013-04,2013-06,"[u'36.103520', u'-115.024194']",9049930644,Nevada
98,2011-06,2012-11,"[u'42.944800', u'-87.945299']",8183599706,Wisconsin
99,2012-10,2012-12,"[u'43.027051', u'-87.957959']",8245032460,Wisconsin
100,2012-08,2012-08,"[u'36.102879', u'-115.025900']",7866475386,Nevada
101,2012-08,2012-08,"[u'41.887500', u'-87.930501']",7768369298,Illinois
102,2010-08,2012-12,"[u'43.025168', u'-88.254976']",8311530678,Wisconsin
103,2010-08,2012-12,"[u'43.025106', u'-88.254976']",8311552740,Wisconsin
104,2012-09,2012-09,"[u'32.333921', u'-90.174322']",7966234962,Mississippi
105,2010-07,2012-09,"[u'42.944925', u'-87.993192']",7994695423,Wisconsin
106,2013-03,2013-03,"[u'32.338236', u'-90.173249']",8538451871,Mississippi
107,2012-08,2013-03,"[u'40.008371', u'-75.090887']",8540436294,Pennsylvania
108,2012-08,2012-08,"[u'27.944767', u'-82.445483']",7726598180,Florida
109,2014-07,2014-07,"[u'40.042039', u'-75.317459']",14408989118,Pennsylvania
110,2013-06,2013-06,"[u'40.731666', u'-73.863167']",9101931823,New York
111,2013-06,2013-06,"[u'40.731166', u'-73.863167']",9104160044,New York
112,2010-07,2012-09,"[u'42.944925', u'-87.996282']",7994703086,Wisconsin
113,2007-12,2008-02,"[u'33.737100', u'-84.371234']",2238612306,Georgia
114,2011-03,2011-03,"[u'39.092072', u'-77.209178']",5562043560,Maryland
115,2008-11,2009-04,"[u'45.554666', u'-122.674667']",3415149607,Oregon
116,2009-08,2009-08,"[u'29.951662', u'-90.136556']",3831317835,Louisiana
117,2012-08,2012-08,"[u'36.103104', u'-115.025589']",7866610788,Nevada
118,2012-11,2013-03,"[u'40.008371', u'-75.090887']",8539330733,Pennsylvania
119,2008-03,2008-05,"[u'39.000947', u'-77.011440']",2459210754,Maryland
120,2011-03,2011-03,"[u'39.094310', u'-77.208502']",5562043550,Maryland
121,2011-03,2011-03,"[u'39.094310', u'-77.208502']",5562043544,Maryland
122,2010-07,2012-09,"[u'42.944863', u'-87.995252']",7994702746,Wisconsin
123,2013-06,2013-06,"[u'40.731833', u'-73.863334']",9101932149,New York
124,2005-08,2009-01,"[u'42.929617', u'-75.856046']",3228890142,New York
125,2012-10,2012-10,"[u'42.982611', u'-87.941780']",8071000722,Wisconsin
126,2008-10,2008-10,"[u'42.929617', u'-75.856046']",2984623512,New York
127,2013-06,2013-06,"[u'27.361762', u'-82.554059']",8995472887,Florida
128,2013-06,2013-06,"[u'40.734333', u'-73.868834']",9101932617,New York
129,2013-12,2013-12,"[u'47.408595', u'-122.259959']",11609451073,Washington
130,2010-05,2010-05,"[u'45.584731', u'-122.756423']",4619887111,Oregon
131,2009-06,2009-06,"[u'47.702278', u'-122.323858']",3606570036,Washington
132,2012-10,2013-05,"[u'42.930756', u'-87.981218']",8901679481,Wisconsin
133,2012-07,2012-11,"[u'43.169003', u'-89.231214']",8226411041,Wisconsin
134,2008-10,2013-01,"[u'43.096000', u'-88.071727']",8409463869,Wisconsin
135,2008-10,2013-01,"[u'43.095655', u'-88.072199']",8409463827,Wisconsin
136,2006-08,2012-10,"[u'42.944077', u'-88.053102']",8067189143,Wisconsin
137,2006-08,2012-10,"[u'42.944077', u'-88.053274']",8067189007,Wisconsin
138,2013-06,2013-09,"[u'38.746787', u'-90.421771']",9753970245,Missouri
139,2007-10,2012-11,"[u'44.420386', u'-88.099193']",8233285001,Wisconsin
140,2013-06,2013-09,"[u'38.746971', u'-90.422479']",9753768921,Missouri
141,2007-07,2007-07,"[u'32.206682', u'-110.988382']",967339583,Arizona
142,2011-09,2012-10,"[u'43.078605', u'-87.879166']",8100259541,Wisconsin
143,2011-09,2012-10,"[u'43.078715', u'-87.879188']",8100267040,Wisconsin
144,2011-09,2012-10,"[u'43.078825', u'-87.879188']",8100267842,Wisconsin
145,2011-09,2012-10,"[u'43.078778', u'-87.879188']",8100259345,Wisconsin
146,2011-09,2012-10,"[u'43.078856', u'-87.879166']",8100266804,Wisconsin
147,2011-09,2012-10,"[u'43.078778', u'-87.879145']",8100266418,Wisconsin
148,2012-10,2012-10,"[u'43.078856', u'-87.879188']",8100267484,Wisconsin
149,2008-08,2012-11,"[u'43.064906', u'-88.180046']",8234340708,Wisconsin
150,2006-08,2012-10,"[u'42.943857', u'-88.053274']",8067188871,Wisconsin
151,2012-09,2012-09,"[u'42.947815', u'-88.000144']",8027656062,Wisconsin
152,2011-06,2012-11,"[u'42.944737', u'-87.945213']",8183599802,Wisconsin
153,2007-09,2007-10,"[u'37.682393', u'-112.121315']",1801088531,Utah
154,2006-08,2012-10,"[u'42.944203', u'-88.052973']",8067188707,Wisconsin
155,2008-10,2012-11,"[u'43.094621', u'-88.087477']",8233267871,Wisconsin
156,2011-06,2012-11,"[u'42.944737', u'-87.945384']",8183599860,Wisconsin
157,2006-07,2012-09,"[u'43.050387', u'-88.221802']",7996359242,Wisconsin
158,2006-07,2012-09,"[u'43.050513', u'-88.221287']",7996352385,Wisconsin
159,2000-10,2012-11,"[u'42.933427', u'-89.385795']",8161920765,Wisconsin
160,2013-08,2013-08,"[u'26.684879', u'-80.351525']",9453260629,Florida
161,2013-08,2013-08,"[u'26.681878', u'-80.351032']",9453260579,Florida
162,2000-10,2012-11,"[u'42.928525', u'-89.394850']",8161921053,Wisconsin
163,2000-10,2012-11,"[u'42.933395', u'-89.385795']",8161952424,Wisconsin
164,1999-11,2012-11,"[u'42.992563', u'-89.527888']",8161952162,Wisconsin
165,2011-03,2012-10,"[u'43.016948', u'-88.291025']",8067186440,Wisconsin
166,2008-09,2012-09,"[u'43.027302', u'-88.202362']",8027766867,Wisconsin
167,2008-10,2012-11,"[u'43.094652', u'-88.087220']",8233267795,Wisconsin
168,2012-10,2012-12,"[u'43.028431', u'-87.958431']",8245032214,Wisconsin
169,2000-10,2012-11,"[u'42.928462', u'-89.395151']",8161920975,Wisconsin
170,2012-01,2015-06,"[u'32.661111', u'-97.085834']",18936563840,Texas
171,2013-06,2013-06,"[u'40.731833', u'-73.866000']",9104159820,New York
172,2013-06,2013-06,"[u'40.731833', u'-73.866000']",9104159740,New York
173,2013-06,2013-06,"[u'40.731500', u'-73.863000']",9101931505,New York
174,2012-10,2012-10,"[u'43.078872', u'-87.879252']",8100267752,Wisconsin
175,2010-06,2010-08,"[u'39.322147', u'-76.626977']",4858079944,Maryland
176,2010-12,2010-12,"[u'42.203217', u'-71.107174']",5280377643,Massachusetts
177,2013-06,2013-06,"[u'40.731833', u'-73.863667']",9104159414,New York
178,2012-08,2012-08,"[u'28.664909', u'-81.357450']",7844787726,Florida
179,2010-04,2010-04,"[u'40.955254', u'-73.708139']",4530875242,New York
180,2012-08,2012-09,"[u'36.100937', u'-115.019838']",7916294804,Nevada
181,2015-02,2015-02,"[u'46.079899', u'-118.339691']",15883138944,Washington
182,2013-09,2013-09,"[u'40.436413', u'-79.894797']",9718915885,Pennsylvania
183,2007-10,2007-10,"[u'42.928411', u'-75.854984']",1747545682,New York
184,2007-01,2009-03,"[u'37.730827', u'-89.243059']",3367507673,Illinois
185,2011-10,2012-09,"[u'43.045777', u'-87.922897']",7996222172,Wisconsin
186,2012-10,2013-11,"[u'43.034792', u'-87.921395']",11126827614,Wisconsin
187,2012-10,2013-11,"[u'43.034792', u'-87.921395']",11126761215,Wisconsin
188,2011-02,2011-03,"[u'37.792600', u'-122.419967']",5487730225,California
189,2009-09,2011-09,"[u'35.494184', u'-80.851607']",6124078615,North Carolina
190,2011-10,2012-09,"[u'43.046436', u'-87.922897']",7996222798,Wisconsin
191,2011-10,2012-09,"[u'43.045683', u'-87.922897']",7996216093,Wisconsin
192,2011-10,2012-09,"[u'43.045714', u'-87.922940']",7996215839,Wisconsin
193,2012-10,2013-11,"[u'43.034792', u'-87.921395']",11126789066,Wisconsin
194,2012-10,2013-11,"[u'43.034942', u'-87.921910']",11126786616,Wisconsin
195,2011-10,2012-09,"[u'43.045746', u'-87.922983']",7996222572,Wisconsin
196,2011-10,2012-09,"[u'43.045714', u'-87.922983']",7996216431,Wisconsin
197,2012-10,2012-10,"[u'43.078840', u'-87.879188']",8100259987,Wisconsin
198,2012-10,2012-10,"[u'43.078762', u'-87.879252']",8100267574,Wisconsin
199,2012-10,2012-10,"[u'43.078809', u'-87.879273']",8100259721,Wisconsin
200,2011-10,2012-09,"[u'43.046404', u'-87.922940']",7996223044,Wisconsin
201,2011-10,2012-09,"[u'43.045652', u'-87.922940']",7996215719,Wisconsin
202,2011-10,2012-09,"[u'43.047063', u'-87.924528']",7996215137,Wisconsin
203,2012-09,2012-09,"[u'42.947941', u'-88.000059']",8027655926,Wisconsin
204,2011-10,2012-09,"[u'43.047126', u'-87.924699']",7996221448,Wisconsin
205,2007-07,2007-07,"[u'32.206682', u'-110.988382']",967356735,Arizona
206,2011-06,2012-11,"[u'42.944737', u'-87.945728']",8183562023,Wisconsin
207,2011-10,2011-10,"[u'45.012116', u'-93.235902']",6223668235,Minnesota
208,2014-07,2014-07,"[u'38.972755', u'-76.534967']",14650375174,Maryland
209,2013-06,2015-06,"[u'32.773169', u'-96.928445']",18501757534,Texas
210,2013-06,2015-06,"[u'32.773961', u'-96.928414']",18936552430,Texas
211,2013-06,2015-06,"[u'32.774025', u'-96.929878']",18503642223,Texas
212,2013-06,2015-06,"[u'32.776711', u'-96.928520']",18938122599,Texas
213,2014-03,2015-06,"[u'33.677966', u'-95.535331']",18503547743,Texas
214,2014-03,2015-06,"[u'33.672077', u'-95.536720']",19118471292,Texas
215,2014-03,2015-06,"[u'33.672077', u'-95.536720']",18938023399,Texas
216,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747546854,New York
217,2008-09,2012-09,"[u'43.027239', u'-88.202834']",8027724588,Wisconsin
218,2008-09,2012-09,"[u'43.027270', u'-88.203005']",8027721956,Wisconsin
219,2012-10,2013-12,"[u'43.031098', u'-87.945255']",11333923843,Wisconsin
220,2013-08,2013-08,"[u'26.681878', u'-80.351032']",9456040586,Florida
221,2008-09,2012-09,"[u'42.969518', u'-88.266434']",8027780489,Wisconsin
222,2012-07,2012-09,"[u'43.170944', u'-89.237265']",8027336899,Wisconsin
223,2012-10,2013-12,"[u'43.031239', u'-87.945449']",11333851256,Wisconsin
224,2012-07,2012-09,"[u'43.170913', u'-89.237136']",8027336571,Wisconsin
225,2012-10,2012-12,"[u'43.028494', u'-87.958345']",8245032888,Wisconsin
226,2006-10,2012-11,"[u'43.316029', u'-87.969932']",8234317502,Wisconsin
227,2012-10,2012-12,"[u'43.026580', u'-87.958130']",8243964517,Wisconsin
228,2012-10,2012-10,"[u'42.982611', u'-87.941865']",8071000986,Wisconsin
229,2012-10,2012-12,"[u'43.028776', u'-87.958345']",8243964431,Wisconsin
230,2012-10,2012-12,"[u'43.026831', u'-87.958302']",8243964203,Wisconsin
231,2012-10,2012-12,"[u'43.026706', u'-87.958130']",8243964673,Wisconsin
232,2012-10,2012-12,"[u'43.028274', u'-87.958388']",8243963981,Wisconsin
233,2012-07,2012-09,"[u'43.170975', u'-89.237136']",8027336671,Wisconsin
234,2012-10,2012-12,"[u'43.026423', u'-87.958474']",8245032012,Wisconsin
235,2011-09,2011-09,"[u'39.283190', u'-76.494551']",6118161064,Maryland
236,2013-07,2015-06,"[u'32.767794', u'-97.363564']",18501710284,Texas
237,2013-07,2015-06,"[u'32.767733', u'-97.363700']",18936506500,Texas
238,2013-01,2013-01,"[u'41.989847', u'-87.763981']",8378835096,Illinois
239,2012-08,2012-08,"[u'36.100937', u'-115.020010']",7877463590,Nevada
240,2005-10,2010-06,"[u'42.348871', u'-71.040687']",4691067088,Massachusetts
241,2011-05,2011-05,"[u'42.288246', u'-83.745045']",5759464342,Michigan
242,2007-05,2007-10,"[u'42.929617', u'-75.856046']",1748701149,New York
243,2012-08,2012-08,"[u'36.101370', u'-115.024602']",7877313564,Nevada
244,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747548406,New York
245,2011-08,2013-05,"[u'42.254982', u'-71.169390']",8902532862,Massachusetts
246,2011-08,2013-05,"[u'42.255013', u'-71.169561']",8901919175,Massachusetts
247,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1746697533,New York
248,2012-08,2012-09,"[u'36.103988', u'-115.019624']",7913744326,Nevada
249,2012-10,2012-10,"[u'39.282513', u'-76.502459']",8136342270,Maryland
250,2010-08,2012-12,"[u'43.025168', u'-88.255062']",8311552948,Wisconsin
251,2011-09,2011-09,"[u'39.282214', u'-76.502212']",6117603967,Maryland
252,2011-08,2011-08,"[u'39.282675', u'-76.495324']",6066291435,Maryland
253,2007-10,2010-04,"[u'40.485008', u'-88.997711']",4543312587,Illinois
254,2006-05,2012-09,"[u'44.247781', u'-88.402862']",8027482339,Wisconsin
255,2006-05,2012-09,"[u'44.247658', u'-88.402776']",8027482273,Wisconsin
256,2007-07,2007-07,"[u'32.206682', u'-110.988382']",967391609,Arizona
257,2007-07,2009-07,"[u'33.937832', u'-84.478061']",3705513274,Georgia
258,2012-12,2012-12,"[u'38.159879', u'-122.210497']",8330324171,California
259,2014-07,2014-07,"[u'40.154014', u'-75.342049']",14660267252,Pennsylvania
260,2010-05,2010-05,"[u'40.513766', u'-74.357893']",4647850218,New Jersey
261,2010-05,2010-05,"[u'40.513766', u'-74.357893']",4647849998,New Jersey
262,2010-05,2010-05,"[u'40.513766', u'-74.357893']",4647849764,New Jersey
263,2015-04,2015-04,"[u'40.141926', u'-75.446752']",16615482974,Pennsylvania
264,2008-10,2008-10,"[u'29.923473', u'-95.213570']",2987789877,Texas
265,2006-05,2012-01,"[u'42.495959', u'-70.919666']",6731307963,Massachusetts
266,2015-06,2015-06,"[u'40.211651', u'-75.500703']",18863831128,Pennsylvania
267,1998-02,2012-11,"[u'42.905331', u'-89.383435']",8161920531,Wisconsin
268,2015-06,2015-06,"[u'29.568605', u'-95.667703']",18913161788,Texas
269,2009-10,2015-06,"[u'32.736033', u'-97.363800']",18994668830,Texas
270,2013-06,2015-06,"[u'32.775591', u'-96.928695']",19098094056,Texas
271,2013-06,2015-06,"[u'32.776100', u'-96.928559']",19118554462,Texas
272,2015-02,2015-06,"[u'45.442722', u'-122.733489']",18480284353,Oregon
273,2015-06,2015-06,"[u'40.211096', u'-75.499063']",18428946764,Pennsylvania
274,2010-08,2012-12,"[u'43.025231', u'-88.254890']",8311552862,Wisconsin
275,2011-09,2011-09,"[u'39.282621', u'-76.494905']",6117612333,Maryland
276,2012-05,2012-06,"[u'47.471065', u'-94.878771']",7331188586,Minnesota
