date,cmt,fav,post,total
2005-09,0,0,1,1
2005-12,0,0,1,1
2006-03,1,0,1,2
2006-07,0,0,1,1
2006-08,0,0,2,2
2006-09,0,0,1,1
2006-10,0,0,2,2
2006-11,0,0,1,1
2006-12,0,0,7,7
2007-01,1,0,5,6
2007-03,0,1,0,1
2007-04,3,0,2,5
2007-05,1,6,0,7
2007-07,0,1,1,2
2007-08,0,0,3,3
2007-09,0,0,3,3
2007-10,0,0,3,3
2007-11,0,0,14,14
2007-12,0,1,1,2
2008-01,1,1,4,6
2008-02,0,0,8,8
2008-03,6,2,15,23
2008-04,0,1,0,1
2008-05,2,0,11,13
2008-06,5,4,8,17
2008-07,2,4,20,26
2008-08,1,0,1,2
2008-09,5,2,20,27
2008-10,2,1,9,12
2008-11,5,7,2,14
2008-12,1,1,4,6
2009-01,1,16,11,28
2009-02,0,10,14,24
2009-03,3,9,10,22
2009-04,0,6,5,11
2009-05,0,6,13,19
2009-06,4,8,40,52
2009-07,7,2,10,19
2009-08,0,1,9,10
2009-09,0,0,3,3
2009-10,1,1,15,17
2009-11,7,9,11,27
2009-12,0,1,14,15
2010-01,3,3,13,19
2010-02,6,2,14,22
2010-03,3,8,20,31
2010-04,4,10,61,75
2010-05,5,8,8,21
2010-06,0,3,20,23
2010-07,1,0,12,13
2010-08,1,1,11,13
2010-09,2,6,6,14
2010-10,5,3,57,65
2010-11,0,4,10,14
2010-12,2,4,2,8
2011-01,1,3,24,28
2011-02,1,1,6,8
2011-03,1,11,10,22
2011-04,6,14,21,41
2011-05,6,11,10,27
2011-06,0,5,9,14
2011-07,1,3,2,6
2011-08,4,4,35,43
2011-09,0,2,4,6
2011-10,80,9,7,96
2011-11,1,5,9,15
2011-12,0,5,8,13
2012-01,0,4,10,14
2012-02,24,3,20,47
2012-03,17,6,7,30
2012-04,2,18,14,34
2012-05,0,9,41,50
2012-06,10,7,36,53
2012-07,2,10,156,168
2012-08,0,1,28,29
2012-09,0,3,52,55
2012-10,0,2,58,60
2012-11,5,3,16,24
2012-12,0,3,19,22
2013-01,13,11,35,59
2013-02,3,2,8,13
2013-03,0,1,4,5
2013-04,9,6,73,88
2013-05,3,12,33,48
2013-06,4,2,40,46
2013-07,0,1,22,23
2013-08,1,5,11,17
2013-09,1,0,6,7
2013-10,0,6,6,12
2013-11,0,3,25,28
2013-12,1,7,4,12
2014-01,1,12,16,29
2014-02,0,2,11,13
2014-03,0,0,16,16
2014-04,4,12,11,27
2014-05,1,12,3,16
2014-06,1,0,65,66
2014-07,4,4,53,61
2014-08,6,0,22,28
2014-09,1,9,7,17
2014-10,1,2,46,49
2014-11,0,1,18,19
2014-12,0,7,19,26
2015-01,0,7,11,18
2015-02,3,2,34,39
2015-03,2,5,50,57
2015-04,0,3,60,63
2015-05,8,6,34,48
2015-06,0,0,20,20
2015-07,0,2,5,7
