date,cmt,fav,post,total
2004-09,0,0,1,1
2005-02,0,0,1,1
2005-03,44,22,22,88
2005-04,23,2,4,29
2005-05,2,22,24,48
2005-06,57,0,3,60
2005-08,2,1,2,5
2005-09,0,0,2,2
2005-11,0,0,1,1
2005-12,39,1,1,41
2006-01,1,0,1,2
2006-02,8,0,2,10
2006-03,9,0,7,16
2006-04,12,0,2,14
2006-05,5,0,6,11
2006-06,26,2,4,32
2006-07,20,1,7,28
2006-08,6,0,24,30
2006-09,4,3,2,9
2006-10,9,0,5,14
2006-11,78,1,25,104
2006-12,36,3,9,48
2007-01,11,2,24,37
2007-02,26,0,7,33
2007-03,4,1,6,11
2007-04,68,17,55,140
2007-05,162,26,18,206
2007-06,70,25,32,127
2007-07,361,37,126,524
2007-08,271,66,148,485
2007-09,85,13,63,161
2007-10,172,10,175,357
2007-11,497,83,202,782
2007-12,116,24,84,224
2008-01,49,14,10,73
2008-02,432,65,60,557
2008-03,492,148,38,678
2008-04,70,35,24,129
2008-05,140,75,148,363
2008-06,71,50,330,451
2008-07,36,16,33,85
2008-08,163,37,101,301
2008-09,42,62,40,144
2008-10,208,42,16,266
2008-11,192,63,199,454
2008-12,171,10,37,218
2009-01,124,102,155,381
2009-02,89,23,80,192
2009-03,40,20,176,236
2009-04,202,35,66,303
2009-05,277,21,330,628
2009-06,194,45,58,297
2009-07,45,17,57,119
2009-08,125,12,119,256
2009-09,71,18,392,481
2009-10,194,41,102,337
2009-11,1134,210,161,1505
2009-12,528,70,224,822
2010-01,322,50,90,462
2010-02,178,20,131,329
2010-03,351,123,79,553
2010-04,669,209,134,1012
2010-05,533,91,276,900
2010-06,69,31,114,214
2010-07,516,149,91,756
2010-08,459,58,61,578
2010-09,533,81,111,725
2010-10,828,37,165,1030
2010-11,238,89,123,450
2010-12,595,80,282,957
2011-01,538,140,147,825
2011-02,115,22,103,240
2011-03,237,78,144,459
2011-04,322,115,193,630
2011-05,189,61,74,324
2011-06,524,94,165,783
2011-07,159,95,89,343
2011-08,180,39,126,345
2011-09,187,116,172,475
2011-10,173,63,99,335
2011-11,798,241,144,1183
2011-12,412,115,158,685
2012-01,226,109,120,455
2012-02,199,68,164,431
2012-03,801,159,316,1276
2012-04,993,262,322,1577
2012-05,916,176,183,1275
2012-06,349,144,61,554
2012-07,279,132,110,521
2012-08,480,198,212,890
2012-09,711,206,1023,1940
2012-10,1449,186,204,1839
2012-11,1103,129,152,1384
2012-12,995,241,103,1339
2013-01,719,153,145,1017
2013-02,217,268,110,595
2013-03,784,132,211,1127
2013-04,457,254,330,1041
2013-05,667,288,93,1048
2013-06,420,134,120,674
2013-07,73,161,46,280
2013-08,360,92,56,508
2013-09,345,163,72,580
2013-10,425,193,157,775
2013-11,485,214,173,872
2013-12,131,218,109,458
2014-01,213,372,208,793
2014-02,299,337,222,858
2014-03,168,239,143,550
2014-04,420,327,319,1066
2014-05,416,624,278,1318
2014-06,110,287,90,487
2014-07,111,258,89,458
2014-08,81,268,122,471
2014-09,107,189,65,361
2014-10,376,456,233,1065
2014-11,461,371,138,970
2014-12,351,612,167,1130
2015-01,260,405,93,758
2015-02,249,266,90,605
2015-03,185,485,253,923
2015-04,650,698,272,1620
2015-05,287,602,163,1052
2015-06,67,328,50,445
2015-07,109,256,75,440
